event_id,gate,category,sample,loss
373,51,3,310,16979857606.0
374,46,2,311,3450533798.0
375,21,1,313,1624871268.0
376,51,3,314,13533194881.0
377,39,2,314,2424371639.0
378,12,1,315,1241017698.0
379,21,1,315,1624871268.0
380,20,3,318,6613654285.0
381,14,1,318,1289941312.0
382,10,1,319,814217738.8
383,51,3,320,5237928286.0
384,12,1,321,509255497.6
385,52,2,324,4224952563.0
386,52,1,326,655521799.8
387,21,1,328,1624871268.0
388,9,1,329,524354473.6
389,12,1,329,607453335.9
390,53,1,331,1316785465.0
391,51,3,331,11721562638.0
392,49,1,332,619321084.4
393,46,1,334,524354473.6
394,52,1,334,849747284.3
395,37,2,335,3450533798.0
396,37,2,335,3450533798.0
397,52,1,336,406387134.5
398,26,1,337,1205057041.0
399,12,1,337,412649215.7
400,36,2,337,3450533798.0
401,12,1,337,336020149.5
402,48,3,337,8097986358.0
403,20,4,338,26234121822.0
404,29,1,338,821323293.5
405,12,1,341,813250835.8
406,61,2,341,3611421792.0
407,12,1,342,1709348523.0
408,12,1,343,1392964191.0
409,12,1,344,451053528.9
410,51,3,344,4643239763.0
411,14,1,345,964062482.8
412,40,4,346,14853619650.0
413,53,1,346,1316785465.0
414,21,1,348,1624871268.0
415,12,1,348,1915687680.0
416,12,1,348,799245052.3
417,61,1,348,462562513.5
418,51,1,351,641219333.3
419,1,1,352,872477522.2
420,1,1,353,978289689.8
421,21,1,353,947222683.7
422,14,3,353,5030803098.0
423,2,1,354,978289689.8
424,61,2,356,3611421792.0
425,12,1,358,385986868.5
426,18,3,358,7188343121.0
427,20,3,359,6613654285.0
428,10,1,359,939169401.7
429,22,1,362,947222683.7
430,50,3,362,8272484451.0
431,11,1,362,250811481.2
432,21,4,363,14948036345.0
433,45,1,366,1119276599.0
434,50,1,366,795430630.9
435,14,3,367,8938953132.0
436,10,1,367,766958075.8
437,37,1,370,1361850958.0
438,46,1,370,524354473.6
439,46,2,374,3450533798.0
440,37,2,376,3450533798.0
441,1,1,376,750545266.6
442,46,2,376,3450533798.0
443,25,1,377,785057726.5
444,22,1,377,947222683.7
445,14,3,377,5030803098.0
446,46,1,379,524354473.6
447,21,1,379,1624871268.0
448,12,1,379,349893162.8
449,37,1,380,1361850958.0
450,1,1,381,886139377.8
451,14,1,382,1289941312.0
452,46,2,383,3450533798.0
453,51,3,384,11772859542.0
454,21,1,385,1624871268.0
455,13,3,385,5030803098.0
456,18,3,385,7188343121.0
457,51,3,385,10500861655.0
458,27,1,386,1247943521.0
459,51,3,387,9079647446.0
460,1,1,389,906902259.5
461,1,3,389,5749773962.0
462,49,1,390,581034932.9
463,45,1,390,1119276599.0
464,48,1,390,672504113.1
465,22,1,391,947222683.7
466,20,2,392,4661767010.0
467,14,3,393,7188343121.0
468,61,1,395,462562513.5
469,19,4,395,26234121822.0
470,49,1,395,537884511.7
471,6,1,397,901765476.2
472,13,3,398,8938953132.0
473,12,1,398,1721301365.0
474,10,1,398,573473280.7
475,12,1,398,557976347.5
476,39,2,399,2424371639.0
477,51,3,399,10441354762.0
478,29,1,400,821323293.5
479,46,2,400,3450533798.0
480,58,1,401,775055478.6
481,12,1,401,358490400.0
482,20,4,402,26234121822.0
483,13,3,403,5030803098.0
484,1,1,404,774325770.8
485,51,3,409,13443306794.0
486,26,1,409,1205057041.0
487,36,2,412,3450533798.0
488,51,3,413,5515529482.0
489,26,1,414,1205057041.0
490,21,1,415,1624871268.0
491,12,1,416,916756647.4
492,46,4,417,14948036345.0
493,10,1,420,894588857.5
494,53,1,422,1316785465.0
495,2,1,422,1212988122.0
496,46,4,422,14948036345.0
497,49,1,424,654227952.3
498,45,1,425,1119276599.0
499,9,3,425,5961674471.0
500,1,1,426,792433912.9
501,63,2,427,2733219431.0
502,50,1,428,795430630.9
503,1,1,429,702839899.1
504,12,1,429,1170722174.0
505,10,1,430,697310685.5
506,49,1,431,479850757.6
507,63,2,433,2733219431.0
508,37,2,433,3450533798.0
509,46,2,434,3450533798.0
510,39,2,434,2424371639.0
511,40,4,436,14853619650.0
512,48,3,438,8097986358.0
513,46,4,441,14948036345.0
514,48,3,441,8097986358.0
515,21,3,441,6613654285.0
516,1,1,442,1134494513.0
517,12,1,442,595827697.4
518,12,1,443,753893405.2
519,46,2,443,3450533798.0
520,51,3,444,8325092057.0
521,13,1,444,780988111.9
522,58,1,445,775055478.6
523,51,3,446,8518702245.0
524,51,3,447,6546798534.0
525,12,1,447,1203964862.0
526,21,1,447,947222683.7
527,49,3,448,6613654285.0
528,15,1,448,953647683.2
529,25,1,448,785057726.5
530,12,3,449,5030803098.0
531,12,1,449,564659566.8
532,12,1,450,1188178182.0
533,58,1,451,775055478.6
534,37,2,451,3450533798.0
535,61,2,451,3611421792.0
536,52,2,453,4224952563.0
537,62,1,454,462562513.5
538,15,1,454,1153253312.0
539,50,1,454,795430630.9
540,25,1,455,785057726.5
541,1,1,455,1132744358.0
542,6,1,456,901765476.2
543,22,1,456,947222683.7
544,2,1,457,946174908.7
545,51,3,458,6686206732.0
546,8,2,459,2424371639.0
547,15,3,459,8938953132.0
548,20,4,460,26234121822.0
549,12,1,460,2042360000.0
550,46,2,461,3450533798.0
551,12,1,461,1291160224.0
552,46,4,463,14948036345.0
553,9,3,464,5961674471.0
554,51,1,464,537262944.9
555,14,1,466,1289941312.0
556,13,3,467,8938953132.0
557,15,1,467,576988517.1
558,9,3,468,5961674471.0
559,20,2,469,4661767010.0
560,10,1,470,758703772.1
561,1,1,470,779615635.8
562,12,1,470,1339175420.0
563,11,2,471,2544197467.0
564,32,1,471,821323293.5
